Date,Open,High,Low,Close,Volume
2025-06-12,198.475,199.075,196.761,198.595,44038241
2025-06-13,199.125,199.762,195.106,195.854,51603908
2025-06-16,196.701,198.083,195.968,197.818,43151607
2025-06-17,196.601,197.788,194.618,195.046,38974395
2025-06-18,195.345,196.971,194.478,195.984,45532829
2025-06-20,197.633,201.088,196.258,200.39,97108155
2025-06-23,201.013,201.686,198.356,200.889,55984120
2025-06-24,201.975,202.822,199.592,199.692,54228555
2025-06-25,200.839,203.052,200.012,200.949,39646011
2025-06-26,200.819,202.025,198.855,200.39,50953707
2025-06-27,201.278,202.603,199.393,200.469,73411291
2025-06-30,201.398,206.761,198.656,204.548,92192516
2025-07-01,206.038,209.549,205.515,207.189,79028629
2025-07-02,208.276,212.693,207.509,211.795,68148564
2025-07-03,211.502,213.999,211.167,212.902,35062209
2025-07-07,212.035,215.574,208.166,209.313,50381835
2025-07-08,209.463,210.788,207.818,209.373,42979321
2025-07-09,208.894,210.689,206.592,210.5,48897715
2025-07-10,209.866,212.832,209.393,211.766,44578881
2025-07-11,209.926,211.487,209.223,210.52,39886823
2025-07-14,209.288,210.27,206.91,207.987,38958305
2025-07-15,208.586,211.247,208.286,208.476,42425050
2025-07-16,209.658,211.756,208.006,209.523,47635050
2025-07-17,209.931,211.157,208.953,209.383,48214417
2025-07-18,210.23,211.147,209.068,210.54,49123625
2025-07-21,211.457,215.125,210.988,211.835,51533780
2025-07-22,212.493,214.297,211.587,213.75,46545283
2025-07-23,214.347,214.497,211.766,213.5,47132293
2025-07-24,213.251,215.035,212.882,213.112,46162671
2025-07-25,214.049,214.587,212.753,213.231,40391322
2025-07-28,213.38,214.193,212.413,213.4,37973222
2025-07-29,213.525,214.158,210.18,210.629,51568174
2025-07-30,211.252,211.746,207.09,208.416,45651012
2025-07-31,207.858,209.203,206.532,206.94,80944004
2025-08-01,210.225,212.932,200.889,201.766,104752277
2025-08-04,203.884,207.249,201.063,202.732,75337863
2025-08-05,202.782,204.716,201.546,202.305,44289446
2025-08-06,205.006,214.727,204.966,212.603,108813227
2025-08-07,218.211,220.18,215.922,219.363,90499397
2025-08-08,220.16,230.3,218.584,228.654,114200436
2025-08-11,227.486,229.124,224.332,226.748,61923935
2025-08-12,227.571,230.36,226.638,229.214,55778413
2025-08-13,230.63,234.553,229.992,232.886,70011735
2025-08-14,233.609,234.672,230.41,232.338,52015228
2025-08-15,233.554,233.834,228.899,231.15,56145467
2025-08-18,231.26,232.676,229.672,230.45,37547618
2025-08-19,230.835,232.427,228.914,230.122,39477665
2025-08-20,229.542,230.032,225.34,225.58,42344420
2025-08-21,225.84,226.089,223.355,224.472,30679612
2025-08-22,225.74,228.654,224.981,227.326,42558773
2025-08-25,226.049,228.864,225.8,226.728,31042186
2025-08-26,226.438,229.054,224.262,228.874,54679127
2025-08-27,228.175,230.46,227.826,230.052,31319093
2025-08-28,230.38,232.966,228.899,232.118,38147270
2025-08-29,232.068,232.936,230.93,231.698,39493568
2025-09-02,228.814,230.41,226.538,229.283,44159646
2025-09-03,236.758,238.396,233.914,238.016,66554447
2025-09-04,237.996,239.444,236.29,239.324,47640058
2025-09-05,239.539,240.861,238.036,239.234,54974980
2025-09-08,238.845,239.693,235.89,237.428,49092888
2025-09-09,236.549,238.326,232.916,233.904,66440313
2025-09-10,231.743,231.978,225.52,226.358,83599849
2025-09-11,226.443,230.012,226.219,229.592,50304275
2025-09-12,228.784,234.064,228.584,233.624,55930617
2025-09-15,236.549,237.737,234.582,236.25,42780909
2025-09-16,236.723,240.761,235.874,237.697,63541980
2025-09-17,238.516,239.643,237.278,238.536,46596661
2025-09-18,239.514,240.741,236.2,237.428,44333916
2025-09-19,240.766,245.831,239.754,245.033,164053408
2025-09-22,247.828,256.151,247.648,255.593,105718533
2025-09-23,255.388,256.851,253.097,253.946,60390072
2025-09-24,254.735,255.253,250.563,251.83,42384340
2025-09-25,252.724,256.681,251.233,256.381,55307290
2025-09-26,253.612,257.11,253.297,254.974,46164079
2025-09-29,254.075,254.515,252.529,253.946,40204170
2025-09-30,254.37,255.432,252.629,254.145,37776123
2025-10-01,254.555,258.297,254.445,254.964,48806788
2025-10-02,256.087,257.689,253.667,256.641,42711492
2025-10-03,254.18,258.747,253.467,257.529,49249304
2025-10-06,257.499,258.577,254.565,256.201,44749247
2025-10-07,256.316,256.911,254.944,255.992,32016683
2025-10-08,256.032,258.029,255.623,257.569,36566458
2025-10-09,257.314,257.509,252.659,253.557,38395053
2025-10-10,254.455,255.893,243.536,244.803,62117269
2025-10-13,248.905,249.215,245.093,247.189,38215642
2025-10-14,246.131,248.372,244.234,247.299,35545606
2025-10-15,249.01,251.341,246.999,248.866,33958212
2025-10-16,247.778,248.566,244.664,246.979,39852789
2025-10-17,247.548,252.898,246.8,251.81,49240635
2025-10-20,255.398,263.872,255.143,261.741,90655491
2025-10-21,261.381,264.785,261.331,262.271,46784950
2025-10-22,262.151,262.35,254.944,257.959,45101053
2025-10-23,259.445,260.125,257.519,259.087,32817372
2025-10-24,260.693,263.627,258.687,262.32,38326628
2025-10-27,264.376,268.608,264.147,268.299,44973709
2025-10-28,268.474,269.377,267.64,268.488,41613924
2025-10-29,268.763,270.894,266.602,269.187,51184113
2025-10-30,271.473,273.619,267.969,270.884,70019738
2025-10-31,276.463,276.792,268.648,269.855,86331358
2025-11-03,269.905,270.335,265.743,268.538,50290254
2025-11-04,267.814,270.969,267.106,269.526,49368764
2025-11-05,268.099,271.183,266.422,269.626,43766331
2025-11-06,267.381,272.88,267.381,269.257,51301640
2025-11-07,269.282,271.772,266.263,267.959,48319287
2025-11-10,268.709,273.474,267.205,269.178,41351068
2025-11-11,269.558,275.652,269.548,274.993,46251556
2025-11-12,274.743,275.472,271.446,273.214,48443269
2025-11-13,273.854,276.44,271.836,272.695,49649208
2025-11-14,270.797,275.702,269.348,272.155,47475713
2025-11-17,268.564,270.237,265.482,267.21,45060384
2025-11-18,269.738,270.457,265.072,267.19,45720019
2025-11-19,265.277,271.956,265.252,268.309,40462318
2025-11-20,270.577,275.173,265.671,266.001,45866446
2025-11-21,265.701,273.074,265.422,271.236,59086068
2025-11-24,270.647,276.741,270.647,275.662,65647166
2025-11-25,275.013,280.118,274.993,276.711,46958118
2025-11-26,276.701,279.269,276.371,277.291,33462705
2025-11-28,277.001,278.739,275.728,278.589,20154461
2025-12-01,277.75,283.155,275.882,282.835,46631315
2025-12-02,282.735,287.131,282.366,285.922,53719751
2025-12-03,285.932,288.35,283.035,283.884,43579427
2025-12-04,283.829,284.464,278.33,280.438,44030217
2025-12-05,280.278,280.877,277.79,278.519,47310072
2025-12-08,277.87,279.408,275.892,277.63,38247587
2025-12-09,277.9,279.768,276.661,276.921,32223379
2025-12-10,277.49,279.488,276.182,278.519,33069232
2025-12-11,278.834,279.329,273.554,277.77,33279096
2025-12-12,277.64,278.959,276.561,278.02,39569878
2025-12-15,279.888,279.888,272.585,273.854,50456246
2025-12-16,272.565,275.242,271.536,274.353,37683856
2025-12-17,274.753,275.902,271.386,271.586,50185658
2025-12-18,273.349,273.374,266.7,271.936,51679033
2025-12-19,271.891,274.343,269.648,273.414,144767383
2025-12-22,272.605,273.624,270.252,270.717,36606048
2025-12-23,270.587,272.245,269.308,272.105,29669735
2025-12-24,272.085,275.173,271.941,273.554,17927333
2025-12-26,273.904,275.113,272.605,273.144,21541940
2025-12-29,272.435,274.104,272.095,273.504,23737403
